nam,track,dat,genre,imag
Esperanza Spalding,Formwela 4,2021-09-30 09:06:36.333,electric bass,https://i.scdn.co/image/ab67616d0000b273d8876e668069f2ca26ad6722
Esperanza Spalding,Formwela 1,2021-09-30 09:17:24.598,electric bass,https://i.scdn.co/image/ab67616d0000b273d8876e668069f2ca26ad6722
Thundercat,A Fan's Mail (Tron Song Suite II),2021-09-30 12:43:53.197,afrofuturism,https://i.scdn.co/image/ab67616d0000b27385c5e6c686ced3e43bae2748
Thundercat,Them Changes,2021-09-30 12:47:02.106,afrofuturism,https://i.scdn.co/image/ab67616d0000b27385c5e6c686ced3e43bae2748
Shobaleader One,Iambic 5 Poetry,2021-09-30 12:52:39.631,drill and bass,https://i.scdn.co/image/ab67616d0000b273404a9ff028582e85e0ca60f9
The Reign of Kindo,"The Hero, The Saint, The Tyrant, & The Terrorist",2021-09-30 12:57:29.637,piano rock,https://i.scdn.co/image/ab67616d0000b273db4236085bb883e7b582c6a3
Plini,Flâneur (feat. Anomalie),2021-09-30 13:03:30.173,djent,https://i.scdn.co/image/ab67616d0000b2730f8dd54b8e12aa41ebac70f6
jizue,atom,2021-09-30 13:07:40.807,japanese jazz fusion,https://i.scdn.co/image/ab67616d0000b273bd7780f0208d7d0e59157299
Garaj Mahal,Mondo Garaj,2021-09-30 13:13:14.615,jam band,https://i.scdn.co/image/ab67616d0000b27375442924afc3e62f7636427e
SEATBELTS,TANK! Virtual Session 2020,2021-09-30 13:22:00.997,none,https://i.scdn.co/image/ab67616d0000b273270897ecc14d9ec7a4fb51a7
Deerhoof,Your Dystopic Creation Doesn't Fear You,2021-09-30 13:24:56.676,art pop,https://i.scdn.co/image/ab67616d0000b273717b04bd9d3f1a101e7fb7da
leon chang,noodle cove,2021-09-30 13:27:27.240,lo-fi vgm,https://i.scdn.co/image/ab67616d0000b273a51216e2d5b2b62b8bf0ef56
Great Time,Rushin',2021-09-30 13:31:15.455,none,https://i.scdn.co/image/ab67616d0000b2730a008417ddb0e6c1522720e9
The Claypool Lennon Delirium,"Blood and Rockets - Movement I, Saga of Jack Parsons - Movement II, Too The Moon",2021-09-30 13:37:45.685,neo-psychedelic,https://i.scdn.co/image/ab67616d0000b273fd9d1ba5193419dfc75aadc2
El Tigr3,Infanticide,2021-09-30 13:42:47.128,dark clubbing,https://i.scdn.co/image/ab67616d0000b27372c83590fb2dbd9d9c676ce9
Asako Toki,Fried Noodles,2021-09-30 13:48:42.985,japanese jazz fusion,https://i.scdn.co/image/ab67616d0000b273e145a5292c9dfdf70de517e9
jizue,atom,2021-09-30 14:07:18.215,japanese jazz fusion,https://i.scdn.co/image/ab67616d0000b273bd7780f0208d7d0e59157299
Garaj Mahal,Mondo Garaj,2021-09-30 14:12:52.110,jam band,https://i.scdn.co/image/ab67616d0000b27375442924afc3e62f7636427e
SEATBELTS,TANK! Virtual Session 2020,2021-09-30 14:16:32.889,none,https://i.scdn.co/image/ab67616d0000b273270897ecc14d9ec7a4fb51a7
Deerhoof,Your Dystopic Creation Doesn't Fear You,2021-09-30 14:19:28.517,art pop,https://i.scdn.co/image/ab67616d0000b273717b04bd9d3f1a101e7fb7da
